"","ME8","ME2","ME9","ME13","ME6","ME11","ME7","ME1","ME3","ME14","ME4","ME5","ME10","ME12","ME0"
"tumor.rep1",-0.0575260590722752,0.27431802942675,-0.124214960615894,-0.0699164431359948,-0.105772452881318,-0.183214253595459,-0.106763778517886,-0.0875312248572704,-0.254054209067671,-0.12381990349382,-0.22844498624091,-0.380928658373181,-0.417416298880413,-0.197860962658094,-0.28003487591465
"tumor.rep2",-0.0682879021910959,0.223925917315506,-0.0995069096317682,-0.0819630085045696,-0.105037885255948,-0.142468343178333,-0.139129071560455,-0.0539257969455303,-0.200527564578949,-0.126219174801488,-0.20650746262248,-0.334455430166981,-0.340842060042831,-0.192612935103999,-0.251550190552271
"tumor.rep3",-0.0703917628899383,0.408358667623558,-0.180494509905244,-0.226748287276849,-0.219129843953596,-0.414088239782662,-0.368329383919643,-0.335180853048916,-0.506362896027871,-0.0797825373326102,-0.438782150066733,-0.356842668093854,-0.502236371417263,-0.501741773200269,-0.560036621502754
"tumor.rep4",-0.0111179447777011,0.0485643526826806,-0.0542432520479815,0.0762056349450114,0.0925949048404046,0.0438463308558359,-0.0931858033284075,0.0303436476536723,-0.021319060011455,-0.0800097830680121,-0.071574824523904,-0.201268631313466,-0.0529023596654867,-0.0356400717891675,-0.0358063145373836
"tumor.rep5",-0.0794770088722925,-0.0130309639309709,-0.0831992282351387,0.00170753649342241,0.0192233361677975,-0.011963546776958,0.039940078522601,0.0603614597145963,0.00340723916819353,0.0231297327846498,0.00135204709296134,-0.147323957539922,-0.0231756461856328,0.0015541941633742,-0.0023047201178952
"tumor.rep6",-0.0583613663785529,-0.06619894749415,-0.0533244174188526,0.177564562592388,0.161348569667586,0.190293701331452,0.0702008306607693,0.0780028648278583,0.047785210745945,-0.140671451975401,-0.0731048849114475,-0.175031541832577,-0.0113363214534916,-0.0147182172553627,0.032406755121238
"tumor.rep7",-0.0808951384467808,-0.0808739027557387,-0.0543282680551713,0.0780558517146174,0.0721148495357092,0.0391187938061631,0.108112351697069,0.0804084266070726,0.0793037875088372,-0.0310185156812906,0.0136364518167107,-0.11036919018488,0.038913947022048,0.014092088385769,0.0362915003661125
"tumor.rep8",-0.064259731573684,-0.00511726240299156,-0.0829263515670439,0.0857094152584009,0.109249251782972,0.0841389077220468,0.133715424547326,0.0624470576051327,0.0150943056219003,-0.0725897738554769,-0.0121907125964721,-0.118616169373364,-0.0329678518273533,0.00737115858454705,0.00894710919952398
"tumor.rep9",-0.0881332558126275,-0.029706871681413,-0.0280570240703733,0.185814860024886,0.200445797198601,0.11573837352354,0.0606631956966651,0.0790746353946036,0.0384673371161095,-0.0955630730652118,-0.0652060288205839,-0.137651630267941,-0.0338560278095114,-0.0325292985986054,-0.00606146771181596
"tumor.rep10",-0.0688021224461729,-0.072656662977392,-0.0308456080926926,0.15220437301532,0.163569585988668,0.159606708669717,0.0340776683871009,0.0531450636385476,0.0989093487921398,-0.0828689331730872,-0.081493389143535,-0.116086630277072,0.0992047882919345,-0.0206781178597782,0.0259250355910982
"tumor.rep11",-0.0864421156414162,-0.0936386143238607,-0.0627946490590676,0.168119574293248,0.16293957287565,0.182394938342899,-0.00583834937656917,0.0728102728820888,0.0927502529844477,-0.0337009629223919,-0.0328657076316052,-0.106909476159678,0.0550280028253591,-0.00341217865034081,0.0298959774161537
"tumor.rep12",-0.0747530094010789,-0.113866806577935,-0.0990601521015666,0.0717001801516434,0.102671972800243,0.050464198548018,0.124256170410771,0.119231078358791,0.0701813877904772,-0.0462460630216515,0.00577319618309275,-0.080083238294578,0.0426005489783376,-0.000457028850979708,0.0406856204165376
"tumor.rep13",-0.0794896345940216,-0.117875150202044,-0.0620065581891484,0.117420298388223,0.16964456643534,0.0927495248032855,0.20376198773835,0.09441918214505,0.0929346128727182,-0.0820948795394278,-0.0330979782378748,-0.0955571422047207,0.0454624318923069,-0.0230319635636249,0.054990915583705
"tumor.rep14",-0.0814873722657458,-0.107177870047117,-0.0770478803294806,0.146241388279531,0.156037983807224,0.140796437149984,0.0105335037719822,0.0671116051354445,0.105139427908831,-0.0543554998945453,-0.0733313711473996,-0.100222304403002,0.0795255959764158,-0.0423733129279628,0.0296198650217521
"tumor.rep15",-0.0132103074331202,-0.0854472778635607,-0.0310961721461991,0.14847003868044,0.15481888687166,0.152412578867519,0.134907396846544,0.0625361467418377,0.0920826945622286,-0.0557976245329285,-0.0508929319251119,-0.0756829818341859,0.0337550864318243,-0.0218269132073173,0.0533237431598641
